,Ingolf,Jono,Albesa
0,A,A,A
1,GQ,G,G
2,A,A,A
3,E,E,E
4,D,E,E
5,A,D,DQ
6,E,E,D
7,A,A,A
8,E,D,E
9,EM,D,D
10,A,A,A
11,A,D,D
12,A,A,A
13,D,D,D
14,C,B,C
15,D,D,D
16,B,D,D
17,A,E,E
18,E,E,E
19,E,E,E
20,FMQ,F,F
21,C,C,C
22,B,B,B
23,C,E,C
24,C,F,C
25,E,E,E
26,EM,C,C
27,F,E,E
28,D,E,E
29,FQ,E,E
30,F,F,F
31,E,E,E
32,EQM,E,E
33,E,D,D
34,A,E,A
35,C,E,E
36,A,A,A
37,C,E,E
38,B,D,D
39,B,B,B
40,GQ,F,G
41,A,A,A
42,A,A,A
43,D,D,D
44,EQ,E,E
