,StatementOne,StatementTwo,StatementThree,StatementFour,PostStatementOne,PostStatementTwo,PostStatementThree,PostStatementFour,MetaphorOne,MetaphorTwo,MetaphorThree,MetaphorFour,AppUsage[SQ001],AppUsage[SQ002],AppUsage[SQ003],AppUsage[SQ004],AppUsage[SQ005],AppUsage[SQ006],AppUsage[SQ007],AppUsage[SQ008],ask1,Age
103,False,False,False,True,False,False,False,True,Yes,,,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,1,28
104,False,True,False,True,False,True,False,True,,,No,,Weekly,Not installed,"Installed, but rarely used",Not installed,Not installed,Daily,Not installed,Not installed,3,59
105,True,False,True,True,True,False,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,4,30
106,True,True,True,True,False,True,False,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,28
107,True,False,True,True,False,True,True,True,Yes,,,,"Installed, but rarely used",Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,21
108,True,True,True,True,False,True,True,True,No,,,,Daily,Not installed,Not installed,Not installed,Monthly,Daily,Not installed,Daily,1,32
109,False,True,False,True,False,True,False,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,32
110,True,False,False,False,True,False,False,False,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,27
111,True,True,True,True,False,True,True,True,Yes,,,,Daily,Not installed,Weekly,Not installed,Daily,Daily,Not installed,Not installed,1,40
112,True,False,True,True,True,False,True,True,,,,No,Weekly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Monthly,4,52
113,False,False,False,True,True,True,True,True,,,No,,"Installed, but rarely used",Not installed,Not installed,Not installed,Daily,Weekly,Not installed,Not installed,3,46
114,True,False,True,True,True,False,True,True,Yes,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,61
115,True,False,True,True,True,False,True,False,,Yes,,,Daily,Not installed,Not installed,Not installed,Daily,Daily,Not installed,Not installed,2,37
116,True,True,True,True,True,False,True,True,No,,,,Monthly,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,1,2
117,True,True,True,False,True,True,True,True,,,No,,Weekly,Not installed,Not installed,Not installed,Not installed,Weekly,Not installed,Not installed,3,46
118,False,True,False,True,False,True,False,True,,,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,5,30
119,True,False,True,True,True,False,True,True,,,,No,Daily,Monthly,Weekly,Not installed,Monthly,Weekly,Weekly,Weekly,4,42
120,True,True,True,True,True,True,True,True,,,,No,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,4,28
121,True,False,True,True,True,False,True,True,,,,,Not installed,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,5,58
122,True,False,True,True,True,False,True,True,,,No,,Daily,Not installed,"Installed, but rarely used",Not installed,Not installed,Daily,Not installed,Not installed,3,26
123,False,True,False,True,True,False,True,False,,Yes,,,Daily,"Installed, but rarely used","Installed, but rarely used",Not installed,Daily,Daily,Not installed,Daily,2,29
124,True,False,True,True,True,False,False,True,,,,No,Weekly,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,Not installed,4,31
125,True,False,True,True,True,False,True,True,,,No,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Not installed,3,27
126,True,False,True,True,True,True,True,True,,No,,,Daily,Not installed,Not installed,Not installed,Not installed,Daily,Not installed,Daily,2,43
